,,ARIZ,ASU,BYU,UTAH,COL,ISU,KU,KSU,OSU,TTU,TCU,BU,UH,UCF,CIN,WVU
Mon,30-Dec,,,,,,,,,,,,,,,,
Tue,31-Dec,,BYU,at ASU,,,,at TCU,,,,KU,WVU,CIN,,at UH,at BU
Wed,1-Jan,UTAH,,,at ARIZ,,,,at OSU,KSU,,,,,,,
Thu,2-Jan,,,,,at UCF,at TTU,,,,ISU,,,,COL,,
Fri,3-Jan,,,,,,,,,,,,,,,,
Sat,4-Jan,at CIN,at UTAH,BU,ASU,,,OSU,,at KU,,at WVU,at BYU,,,ARIZ,TCU
Sun,5-Jan,,,,,UH,UCF,,TTU,,at KSU,,,at COL,at ISU,,
Mon,6-Jan,,,,,,,,,,,,,,,,
Tue,7-Jan,at WVU,at OSU,,BU,,,,,ASU,,at CIN,at UTAH,,,TCU,ARIZ
Wed,8-Jan,,,at COL,,BYU,at KSU,at UCF,ISU,,UH,,,at TTU,KU,,
Thu,9-Jan,,,,,,,,,,,,,,,,
Fri,10-Jan,,,,,,,,,,,,,,,,
Sat,11-Jan,UCF,KSU,WVU,at UH,at KU,CIN,COL,at ASU,,at TCU,TTU,,UTAH,at ARIZ,at ISU,at BYU
Sun,12-Jan,,,,,,,,,at BU,,,OSU,,,,
Mon,13-Jan,,,,,,,,,,,,,,,,
Tue,14-Jan,at KSU,UCF,,WVU,,,at CIN,ARIZ,,,,,,at ASU,KU,at UTAH
Wed,15-Jan,,,at ISU,,at TCU,BYU,,,,BU,COL,at TTU,,,,
Thu,16-Jan,,,,,,,,,at UH,,,,OSU,,,
Fri,17-Jan,,,,,,,,,,,,,,,,
Sat,18-Jan,ASU,at ARIZ,CIN,at UCF,ISU,at COL,KSU,at KU,,,at BU,TCU,,UTAH,at BYU,
Sun,19-Jan,,,,,,,,,TTU,at OSU,,,at WVU,,,UH
Mon,20-Jan,,,,,,,,,,,,,,,,
Tue,21-Jan,at BYU,COL,ARIZ,CIN,at ASU,,UCF,at BU,,,,KSU,,at KU,at UTAH,
Wed,22-Jan,,,,,,TCU,,,at WVU,at UH,at ISU,,TTU,,,OSU
Thu,23-Jan,,,,,,,,,,,,,,,,
Fri,24-Jan,,,,,,,,,,,,,,,,
Sat,25-Jan,ISU,at TTU,at TCU,,KU,at ARIZ,at COL,WVU,,ASU,BYU,at CIN,at UCF,UH,BU,at KSU
Sun,26-Jan,,,,at OSU,,,,,UTAH,,,,,,,
Mon,27-Jan,BU,,,,,,,,,,,at ARIZ,,,,
Tue,28-Jan,,ISU,,,TCU,at ASU,WVU,UH,,,,,at KSU,,,at KU
Wed,29-Jan,,,UTAH,at BYU,,,,,at UCF,at CIN,at COL,,,OSU,TTU,
Thu,30-Jan,,,,,,,,,,,,,,,,
Fri,31-Jan,,,,,,,,,,,,,,,,
Sat,1-Feb,at TTU,at WVU,at UH,COL,at UTAH,,at BU,,CIN,ARIZ,,KU,BYU,,at OSU,ASU
Sun,2-Feb,,,,,,KSU,,at ISU,,,UCF,,,at TCU,,
Mon,3-Feb,,,,,,,UH,,,,,,at KU,,,
Tue,4-Feb,at OSU,at CIN,,,BU,,,,ARIZ,,,at COL,,,ASU,
Wed,5-Feb,,,at UCF,at ISU,,UTAH,,at TCU,,WVU,KSU,,,BYU,,at TTU
Thu,6-Feb,,,,,,,,,,,,,,,,
Fri,7-Feb,,,,,,,,,,,,,,,,
Sat,8-Feb,COL,TCU,KU,TTU,at ARIZ,at UH,at BYU,OSU,at KSU,at UTAH,at ASU,UCF,ISU,at BU,,
Sun,9-Feb,,,,,,,,,,,,,,,at WVU,CIN
Mon,10-Feb,,,,,,,,,,,,at UH,BU,,,
Tue,11-Feb,TCU,at KSU,TTU,KU,,at OSU,at UTAH,ASU,ISU,at BYU,at ARIZ,,,,,
Wed,12-Feb,,,,,CIN,,,,,,,,,at WVU,at COL,UCF
Thu,13-Feb,,,,,,,,,,,,,,,,
Fri,14-Feb,,,,,,,,,,,,,,,,
Sat,15-Feb,at KU,UH,at CIN,at BU,at ISU,COL,ARIZ,,,,WVU,UTAH,at ASU,,BYU,at TCU
Sun,16-Feb,,,,,,,,at UCF,at TTU,OSU,,,,KSU,,
Mon,17-Feb,UH,,,,,KU,at ISU,,,,,,at ARIZ,,,
Tue,18-Feb,,BU,at WVU,at TCU,,,,,,,UTAH,at ASU,,,,BYU
Wed,19-Feb,,,,,at OSU,,,CIN,COL,UCF,,,,at TTU,at KSU,
Thu,20-Feb,,,,,,,,,,,,,,,,
Fri,21-Feb,,,,,,,,,,,,,,,,
Sat,22-Feb,at BU,at COL,OSU,KSU,ASU,at UCF,TTU,at UTAH,at BYU,at KU,,ARIZ,,ISU,,
Sun,23-Feb,,,,,,,,,,,at UH,,TCU,,WVU,at CIN
Mon,24-Feb,at ISU,,,,,ARIZ,,,,,,,,,,
Tue,25-Feb,,at KU,KSU,OSU,at TTU,,ASU,at BYU,at UTAH,COL,,,,,,
Wed,26-Feb,,,,,,,,,,,,CIN,WVU,,at BU,at UH
Thu,27-Feb,,,,,,,,,,,at UCF,,,TCU,,
Fri,28-Feb,,,,,,,,,,,,,,,,
