2025 BIG 12 VB SCHEDULE,,,,,,,,,,,,** NOT FOR PUBLIC RELEASE **,,,,,,,,,,,,,,,,,,
Was Football Conflict (all impacted travel swings adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday Football Game (only listed those w/ home VB matches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ARIZ,ASU,BYU,UTAH,COL,ISU,KU,KSU,TTU,TCU,BU,UH,UCF,CIN,WVU,,,,,,,,,,,,,,
W,24-Sep,,,,,,,,,BU,UH,at TTU,at TCU,CIN,at UCF,,,,,,,,,,,,,,,
Th,25-Sep,,,COL,ISU,at BYU,at UTAH,,,,,,,,,,,,,,,,,,,,,,,
Fr,26-Sep,at KSU,at KU,,,,,ASU,ARIZ,,,,,,,,,,,,,,,,,,,,,
Sa,27-Sep,,,ISU,COL,at UTAH,at BYU,,,at UH,at BU,TCU,TTU,,WVU,at CIN,,,,,,,,,,,,,,
Su,28-Sep,at KU,at KSU,,,,,ARIZ,ASU,,,,,,,,,,,,,,,,,,,,,
W,1-Oct,,,at CIN,,,,at TCU,at WVU,,KU,at UH,BU,,BYU,KSU,,,,,,,,,,,,,,
Th,2-Oct,UTAH,,,at ARIZ,UCF,TTU,,,at ISU,,,,at COL,,,,,,,,,,,,,,,,
Fri,3-Oct,,,at WVU,,,,at BU,at CIN,,,KU,,,KSU,BYU,,,,,,,,,,,,,,
Sa,4-Oct,,UTAH,,at ASU,UH,UCF,,,TCU,at TTU,,at COL,at ISU,,,,,,,,,,,,,,,,
Su,5-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,8-Oct,COL,BU,,,at ARIZ,at KSU,TTU,ISU,at KU,,at ASU,,,at WVU,CIN,,,,,,,,,,,,,,
Th,9-Oct,,,,UH,,,,,,at UCF,,at UTAH,TCU,,,,,,,,,,,,,,,,
Fr,10-Oct,BU,COL,,,at ASU,at KU,ISU,TTU,at KSU,,at ARIZ,,,,,,,,,,,,,,,,,,
Sa,11-Oct,,,UH,,,,,,,,,at BYU,,,,,,,,,,,,,,,,,
Su,12-Oct,,,,,,,,,,,,,WVU,,at UCF,,,,,,,,,,,,,,
W,15-Oct,,,,at COL,UTAH,,,at BU,,CIN,KSU,,,at TCU,,,,,,,,,,,,,,,
Th,16-Oct,,at BYU,ASU,,,WVU,at UH,,,,,KU,,,at ISU,,,,,,,,,,,,,,
Fr,17-Oct,at UCF,,,,,,,at TCU,,KSU,CIN,,ARIZ,at BU,,,,,,,,,,,,,,,
Sa,18-Oct,,at UTAH,at TTU,ASU,WVU,,,,BYU,,,,,,at COL,,,,,,,,,,,,,,
Su,19-Oct,at UH,,,,,,,,,,,ARIZ,,,,,,,,,,,,,,,,,
W,22-Oct,,,,at CIN,at TTU,,TCU,,COL,at KU,,UCF,at UH,UTAH,,,,,,,,,,,,,,,
Th,23-Oct,at ISU,,at BU,,,ARIZ,,,,,BYU,,,,,,,,,,,,,,,,,,
Fr,24-Oct,,,,at WVU,,,,,,,,,,,UTAH,,,,,,,,,,,,,,
Sa,25-Oct,ASU,at ARIZ,at TCU,,ISU,at COL,at KSU,KU,at UCF,BYU,,,TTU,,,,,,,,,,,,,,,,
Su,26-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,29-Oct,at TTU,TCU,UCF,KSU,,BU,,at UTAH,ARIZ,at ASU,at ISU,,at BYU,,,,,,,,,,,,,,,,
Th,30-Oct,,,,,,,at CIN,,,,,at WVU,,KU,UH,,,,,,,,,,,,,,
Fr,31-Oct,TCU,at ISU,KSU,UCF,BU,ASU,,at BYU,,at ARIZ,at COL,,at UTAH,,,,,,,,,,,,,,,,
Sa,1-Nov,,,,,,,at WVU,,,,,at CIN,,UH,KU,,,,,,,,,,,,,,
Su,2-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,5-Nov,BYU,TTU,at ARIZ,,,,,,at ASU,,,,,,,,,,,,,,,,,,,,
Th,6-Nov,,,,,at KU,,COL,CIN,,,,at UCF,UH,at KSU,,,,,,,,,,,,,,,
Fr,7-Nov,TTU,BYU,at ASU,at TCU,,,,,at ARIZ,UTAH,WVU,,,,at BU,,,,,,,,,,,,,,
Sa,8-Nov,,,,,at KSU,at UCF,CIN,COL,,,,,ISU,at KU,,,,,,,,,,,,,,,
Su,9-Nov,,,,at BU,,,,,,WVU,UTAH,,,,at TCU,,,,,,,,,,,,,,
W,12-Nov,at ASU,ARIZ,,,,,,BU,WVU,,at KSU,,at CIN,UCF,at TTU,,,,,,,,,,,,,,
Th,13-Nov,,,,,TCU,at UH,,,,at COL,,ISU,,,,,,,,,,,,,,,,,
Fr,14-Nov,,,,,,,,,CIN,,,,at WVU,at TTU,UCF,,,,,,,,,,,,,,
Sa,15-Nov,,at COL,at UTAH,BYU,ASU,TCU,KSU,at KU,,at ISU,,,,,,,,,,,,,,,,,,,
