2025-26,AF,CBU,UNC,NDSU,SDSU,UVU,WYO,ASU,ISU,MU,UNI,OU,OSU,WVU
A,NDSU,AF,AF,UVU,UVU,AF,CBU,UNI,OU,ISU,ISU,MU,MU,ISU
A,SDSU,NDSU,CBU,WYO,WYO,UNC,UNC,OU,OSU,UNI,OU,OSU,WVU,ASU
A,WYO,SDSU,NDSU,SDSU,UNC,CBU,UVU,MU,ASU,WVU,OSU,WVU,ASU,UNI
A,OU,ASU,MU,UNI,ISU,OSU,WVU,UNC,NDSU,UVU,SDSU,WYO,AF,CBU
,,,,,,,,,,,,,,
H,CBU,UNC,UVU,AF,AF,NDSU,AF,ISU,MU,OU,MU,ISU,ISU,OU
H,UNC,WYO,WYO,CBU,CBU,SDSU,NDSU,WVU,UNI,OSU,WVU,UNI,UNI,OSU
H,UVU,UVU,SDSU,UNC,NDSU,WYO,SDSU,OSU,WVU,ASU,ASU,ASU,OU,MU
H,OSU,WVU,ASU,ISU,UNI,MU,OU,CBU,SDSU,UNC,NDSU,AF,UVU,WYO
,,,,,,,,,,,,,,
